"Id","Role","Company Name","Location","Intern Type","Skills","Opening","Duration_Months","Stipend_Num","Posted_On","Required_Qualification","Industry_Sector","Work_Arrangement","Job Description"
"MCA001","Backend Developer","Innovatech Solutions","Bangalore","Full-time","Python|Django|SQL|REST APIs","3","3","20000","2025-09-05","B.Tech","IT & Software","In-Office","Join Innovatech Solutions as a Backend Developer Intern in Bangalore. You'll work on server-side logic, design and implement RESTful APIs using Python and Django, and collaborate with our frontend team. Responsibilities: - Assist in developing scalable web applications. - Write clean code and perform database management with SQL. - Participate in the entire application lifecycle. Requirements: - Strong knowledge of Python, Django, SQL. - Enrolled in a B.Tech program. This is a 3-month, full-time internship."
"MCA002","Backend Developer","Quantum Systems","Pune","Full-time","Java|Spring Boot|MySQL","2","6","22000","2025-08-28","B.Tech","IT & Software","Hybrid","Quantum Systems is looking for a Backend Developer Intern for our Pune office (Hybrid). You will help build robust services using Java and Spring Boot. Responsibilities: - Develop and maintain microservices. - Work with MySQL databases. - Collaborate with cross-functional teams. Requirements: - Proficiency in Java, Spring Boot, and MySQL. - Currently pursuing a B.Tech degree. This is a 6-month, full-time role."
"MCA003","Backend Developer","Cybernetic Corp","Remote","Full-time","Node.js|Express|MongoDB","5","3","18000","2025-09-10","B.Tech","IT & Software","Work from Home","Cybernetic Corp offers a remote Backend Developer Internship. You'll gain hands-on experience with the MERN stack, focusing on Node.js and Express. Responsibilities: - Build and maintain server-side applications. - Manage databases using MongoDB. - Develop and consume APIs. Requirements: - Solid understanding of Node.js, Express, and MongoDB. - Enrolled in a B.Tech program. This is a 3-month, remote internship."
"MCA004","Backend Developer","DataWeave Inc","Hyderabad","Full-time","Python|Flask|PostgreSQL","2","3","20000","2025-09-01","B.Tech","IT & Software","In-Office","DataWeave Inc in Hyderabad is seeking a Backend Developer Intern. This role involves working with Python and the Flask framework to build efficient web services. Responsibilities: - Write server-side code for web applications. - Manage data persistence using PostgreSQL. - Assist senior developers in project tasks. Requirements: - Knowledge of Python, Flask, and PostgreSQL. - Currently pursuing a B.Tech. This is a 3-month, full-time role."
"MCA005","Backend Developer","LogicLoop","Lucknow","Full-time","PHP|Laravel|MySQL","4","6","15000","2025-08-25","B.Tech","IT & Software","In-Office","LogicLoop in Lucknow is hiring a Backend Developer Intern. You will work with the classic LAMP stack, focusing on PHP and Laravel. Responsibilities: - Develop features for our existing web applications. - Maintain and optimize MySQL databases. - Follow best practices in software development. Requirements: - Familiarity with PHP, Laravel, and MySQL. - Pursuing a B.Tech degree. This is a 6-month, full-time internship."
"MCA006","Backend Developer","TechGenix","Bangalore","Part-time","Go|Gin|SQL","1","6","16000","2025-09-07","B.Tech","IT & Software","Hybrid","TechGenix offers a part-time Backend Developer Internship in Bangalore (Hybrid). This is an opportunity to work with modern technologies like Go. Responsibilities: - Assist in building high-performance APIs using Go and Gin. - Work with SQL databases. - Learn about concurrent programming. Requirements: - Basic knowledge of Go and SQL. - Enrolled in a B.Tech program. This is a 6-month, part-time role."
"MCA007","Backend Developer","SecureSphere","Delhi","Full-time","Java|Spring Boot|REST APIs","3","3","21000","2025-08-30","B.Tech","IT & Software","In-Office","SecureSphere in Delhi is looking for a Backend Developer Intern. You will be part of a team building secure and scalable enterprise applications using Java and Spring Boot. Responsibilities: - Develop REST APIs. - Write unit and integration tests. - Focus on application security. Requirements: - Strong foundation in Java and Spring Boot. - Pursuing a B.Tech. This is a 3-month, full-time internship."
"MCA008","Backend Developer","Innovatech Solutions","Remote","Full-time","Python|Django|MongoDB","2","3","18000","2025-09-11","B.Tech","IT & Software","Work from Home","Innovatech Solutions offers a remote Backend Developer Internship. You will work with Python and Django on various projects, using MongoDB for data storage. Responsibilities: - Develop and maintain web application backends. - Work with NoSQL databases. - Collaborate with a distributed team. Requirements: - Knowledge of Python, Django, and MongoDB. - Enrolled in a B.Tech program. This is a 3-month, remote role."
"MCA009","Backend Developer","CodeCrafters","Pune","Full-time","Node.js|Express|PostgreSQL","5","6","20000","2025-08-22","B.Tech","IT & Software","In-Office","CodeCrafters in Pune is hiring a Backend Developer Intern. You will be working on building real-time applications using Node.js and PostgreSQL. Responsibilities: - Write efficient, reusable, and reliable code. - Design and implement low-latency, high-availability applications. - Integrate with data storage solutions. Requirements: - Understanding of Node.js, Express, and PostgreSQL. - Pursuing a B.Tech. This is a 6-month, full-time internship."
"MCA010","Backend Developer","Quantum Systems","Lucknow","Full-time","Java|MySQL|REST APIs","2","3","16000","2025-09-09","B.Tech","IT & Software","In-Office","Quantum Systems in Lucknow is seeking a Backend Developer Intern. This role focuses on core Java development for our enterprise platforms. Responsibilities: - Assist in developing services using Java. - Manage and query MySQL databases. - Learn about building robust REST APIs. Requirements: - Core Java, MySQL, and API concepts. - Enrolled in a B.Tech program. This is a 3-month, full-time role."
